semana;mes;variedad_producto;color_producto;calibre;kg_calibre;porcentaje_calibre_por_guia_remision;guia_remision;reporte_produccion;fecha;cliente
16;Abril;Hass;Negra;30;700.00;0.0248;T008 N° 0000161;0001-0002302;16/04/2024;CLIENTE2
16;Abril;Hass;Negra;32;600.00;0.0213;T008 N° 0000161;0001-0002302;16/04/2024;CLIENTE2
16;Abril;Hass;Negra;10-20;2500.00;0.6297;T030 N° 0000004;0001-0002303;16/04/2024;CLIENTE1
16;Abril;Hass;Negra;22-24;1470.00;0.3703;T030 N° 0000004;0001-0002303;16/04/2024;CLIENTE1
16;Abril;Hass;Negra;10;150.00;0.0024;T008 N° 0000162;0001-0002304;16/04/2024;CLIENTE2
16;Abril;Hass;Negra;12;1950.00;0.0314;T008 N° 0000162;0001-0002304;16/04/2024;CLIENTE2
16;Abril;Hass;Negra;14;5630.00;0.0907;T008 N° 0000162;0001-0002304;16/04/2024;CLIENTE2
16;Abril;Hass;Negra;16;9070.00;0.1462;T008 N° 0000162;0001-0002304;16/04/2024;CLIENTE2
16;Abril;Hass;Negra;18;12010.00;0.1936;T008 N° 0000162;0001-0002304;16/04/2024;CLIENTE2
16;Abril;Hass;Negra;20;8410.00;0.1356;T008 N° 0000162;0001-0002304;16/04/2024;CLIENTE2
16;Abril;Hass;Negra;22;8390.00;0.1352;T008 N° 0000162;0001-0002304;16/04/2024;CLIENTE2
16;Abril;Hass;Negra;24;5390.00;0.0869;T008 N° 0000162;0001-0002304;16/04/2024;CLIENTE2
16;Abril;Hass;Negra;26;3580.00;0.0577;T008 N° 0000162;0001-0002304;16/04/2024;CLIENTE2
16;Abril;Hass;Negra;28;2710.00;0.0437;T008 N° 0000162;0001-0002304;16/04/2024;CLIENTE2
16;Abril;Hass;Negra;30;2580.00;0.0416;T008 N° 0000162;0001-0002304;16/04/2024;CLIENTE2
16;Abril;Hass;Negra;32;2170.00;0.0350;T008 N° 0000162;0001-0002304;16/04/2024;CLIENTE2
